,text,type,client_gender,client_age
10,"Het boek is een volwaardig plot voor de comic 'the coppers'. Zeker aan het einde is het eerder een minder geslaagd humoristisch verhaal. Welke toevalligheden de hoofdpersonen in gans het boek beleven, elkaar doet vinden, de ene schakel met de andere verbinden is niet denkbaar. Hoe op een eenvoudige wijze een gans gesofestikeerd computernetwerk, annex programma door een 'whizkidd' wordt lamgelegd is zwaar gefantaseerd. Ook al omdat er voor de dader geen enkel element in het boek aangeeft dat hij zo een nerd is, integendeel, zijn groot dada is schilderen!  Neen, Cornwell vervalt terug in broodschrijverij met deze drie nieuwe figuren (Hammer, Brazil en West en dus geen Scarpetta). Nochthans was het eerste deel wel beloftevol. Enig pluspunt: een gemakkelijk te lezen ontspannend verhaal wanneer je niet al te nauwkeurig oplet. voor mij slechts twee sterren (met moeite)",0,unk,unk
11,"In The Italian Teacher neemt de Britse schrijver Tom Rachman je mee in een zoektocht naar creativiteit, authenticiteit en erkenning. Niet alleen als kunstenaar, maar ook als vader, zoon en vriend. De belichaming van deze zoektocht in de roman is hoofdpersoon Pinch. Hij is de zoon van de wereldberoemde kunstenaar Bear Bavinsky en zijn muze Natalie. Vanaf een jonge leeftijd leert hij dat het leven van een kunstenaar niet over rozen gaat. Pinch moet vaak de mislukte schilderijen van zijn vader verbranden, maar ziet tegelijkertijd zijn moeder worstelen om überhaupt iets te creëren vanachter haar draaischijf met klei. Enige artistieke pretenties van Pinch zelf worden door zijn vader al snel de kop in gedrukt. Tot verdriet van zijn zoon, maar aan de andere kant zijn vader heeft er kijk op en hij zal wel eerlijk zijn over de kwaliteit van het werk. Pinch gooit zijn artistieke aspiraties overboord en wordt na een aantal omzwervingen in de academische wereld, leraar Italiaans in Londen. Toch blijft de kunstwereld door de bekendheid van zijn vader altijd aanwezig in zijn leven. Het zijn deze inkijkjes in dit gesloten artistieke bolwerk dat The Italian Teacher zo interessant maakt. Rachman stelt tussen de regels grote vragen als: Wat is kunst? En wie bepaalt dat? De werkwijze van kunstcritici en galeriehouders wordt regelmatig tegen het licht gehouden en het meest stuitende voorbeeld komt op het moment dat er na de dood van Bear nieuw werk van hem wordt ontdekt. Kunstcriticus Connor Thomas is niet meteen enthousiast, maar als hij lucht krijgt van het enthousiasme van een galeriehoudster draait zijn houding 180 graden. Van enig cynisme is niets meer te bespeuren en het werk van Bavinsky wordt eenduidig geprezen. De vraagtekens die Rachman stelt bij de authenticiteit van de kunstwereld vormen een opvallende parallel met het leven van hoofdpersoon Pinch. Ook hij test voortdurend de waarde en echtheid van de relaties in zijn leven. Het duidelijkst blijft dit uit de relatie met zijn vader die hij simpelweg adoreert, maar ook in de vriendschappen die hij tijdens zijn leven aanknoopt, blijft de onzekerheid van Pinch de kop opsteken. Soms kan hij simpelweg niet begrijpen waarom mensen liefdesrelaties of vriendschap met hem aanknopen en steekt jaloezie de kop op: ‘Was I always this way, detesting those who outstrip me, at school, in university, in painting…The truth is that I have achieved what I deserve.’ Met The Italian Teacher neemt Rachman niet alleen de kunstwereld op de hak, maar laat hij zien dat je leven voorgeven in de schaduw van een grootheid, een hele kunst is. 'Het is autobiografisch, helemaal waargebeurd maar toch zie je elementen van fictie in de stijl en vooral de opbouw, dat maakt het des te sterker.' - Win boeken voor je hele leesclub! 'Wat beweegt de jonge zwarte deelpachter Tucker Caliban om huis, vee en akkers te vernietigen en met vrouw en kind naar het Noorden te vertrekken?'- Win Uit de maat voor je hele leesgroep! We gaan Wil van Jeroen Olyslaegers luisteren via de gratis Hebban Luisterboeken-app. Doe je mee?",1,unk,unk
12,"Wat een fantastisch bij elkaar bedacht boek. De Graaf van Montechristo en alle andere personen zijn prachtig uitgewerkte karakters en het verhaal is onvoorspelbaar en avontuurlijk. Leest weg als een jongensboek. Wel jammer van de ouderwetse moraal die soms duimendik op de pagina's ligt. Dat zal de tijdsgeest zijn, maar maakt het verhaal helaas wat minder tijdloos.",1,unk,unk
13,"Na 12 ambachten en 13 ongelukken besloot Jim Butcher(Independence, 1971) schrijver te worden. Hij had al 3 boeken af toen hij in 1999 eindelijk een uitgever vond. Sinds zijn debuut schrijft hij elk jaar een boek. Stormnacht behoort tot een serie boeken uit de Dresden Dossiers. Harry Blackstone Copperfield is magiër, de enig openlijk praktiserende professionele magiër in het centrum van Chicago. Op een dag wordt hij gebeld door Karrin Murphy, hoofd van de afdeling Speciale Onderzoeken in Chicago. Zij vraagt Harry naar het Madison Hotel te komen waar de dode lichamen gevonden zijn van Jennifer Stanton, die voor een dure escortservice werkte en Tommy Tomm, lijfwacht van Johnny Marcone, lid van een maffiafamilie. De politie vraag aan magier Harry of hij aanknopingspunten kan vinden voor deze lugubere, middels magie, uitgevoerde moord. Op weg terug naar zijn kantoor wordt hij aangesproken door Johnny Marcone. Hij biedt hem een grote som geld aan om geen actie te ondernemen en geen onderzoek naar de moord te doen. Tevens wordt Harry benaderd door Monica Sells wier man, Victor, al 3 dagen weg is. Voor zijn verdwijning heeft hij boeken gekocht over magie. Harry belooft Monica onderzoek te doen naar haar man.Uiteindelijk blijken beide zaken met elkaar in verband te staan. Kan Harry de waarheid achterhalen? Als je niet geïnteresseerd bent in magie is dit boek niet echt interessant te noemen. Je moet liefhebber van de schrijfstijl en het onderwerp zijn om het boek te kunnen waarderen. Een verhaal over feeën, luchtgeesten, (dochters van) de Witte Raad, Wetten van de Magie, de Doem van Damocles of het Nooitgedacht zal zonder twijfel menigeen de wenkbauwen doen fronsen. Een groot deel van het verhaal speelt zich af in de magische wereld met toverdrankjes, toverspreuken en hulpmiddelen met magische krachten. Mensen veranderen in demonen of monsters. Harry krijgt te maken met reuzeninsecten en andere buitenaardse wezens. Zonder al deze magische toevoegingen had het verhaal spannend kunnen zijn, maar voor de sceptici onder ons is al het bovennatuurlijke te veel ven het goede. In ieder geval te veel om geloofwaardig te zijn. Ook de personages komen niet echt uit de verf. Harry, Karrin, Monica en de anderen raken ondergesneeuwd in het verhaal dat alleen maar draait om magische krachten en bovennatuurlijke zaken. Het enige positieve aan het verhaal is dat Harry in ieder geval een goede magiër is, die zijn toverkunsten alleen aanwendt om het kwaad te bestrijden. En dat is dan ook wat hij doet. Ik kan me zeker voorstellen dat er mensen zijn die dit soort verhalen waarderen, helaas hoor ik daar niet bij.",0,unk,unk
14,"Zonder de achterkaft te hebben gelezen ben ik in dit verhaal begonnen. Blij toe want als ik de boek omschrijvingen van De Ontnuchtering en The Awakening vergelijk merk ik al behoorlijke verschillen.  Ik betrad de decadente rijke Frans-Amerikaanse (Cajun) society waar een frivool ""open"" omgangsvorm heerst. In een mooie sfeer omschrijving wordt neergezet wat voor die kringen en tijd betamelijk was als ""hoe het hoort"". Haar gesteldheid op Robert's aanwezigheid tijdens de vakantie groeit in verliefdheid. Edna gaat nadenken over haar innerlijk en formuleert hetgene dat ze werkelijk belangrijk vind: alleen van jezelf zijn. Eenmaal terug in Orleans maakt ze steeds meer keuzes in haar leven die dit openbaren, het is alleen geen openbaring waar haar vriendinnen en kennissen zich mee kunnen vereenzelvigen. Ze neemt afstand, gaat steeds meer haar eigen weg en bloeit op tot een opmerkelijke vrouw met charisma, energie, verlangens en dromen. De opinie van de maatschappij omtrent haar gedrag blijft echter drukken: ze is getrouwd en moeder, bij tijd en wijle overvallen haar sombere buien. Als zij na een zware beproeving waarbij haar het ""hoe het hoort , je bent moeder"" weer als enige levensdoel voor gehouden wordt van zich afschudt, wordt zij opnieuw enorm teleurgesteld als dromen niet blijken uit te komen. Er rest nog maar een keuze: voor zichzelf.  Nadat het verhaal afstandelijk begint ga je mee in de persoonlijkheids ontwikkeling van Edna, met een opmerkelijk eind. Ik vond het mooi. Is het een feministisch boek zoals ik ergens las? Ach, in de trant van zelfbewustwording van een autonoom mens wel; dat er meer is dan dat de vrouw moeder is in het gezin, onze alom geroemde ""hoeksteen van de maatschappij"". Maar niet in de extreme vorm van alleen maar zelfvervulling waar het soms naar neigt, in plaats van gelijkheid. Is het een boek over ""Seksuele Ontwaking"" ? Ik vind dat bij zelf ontdekking er zoveel aspecten zich ontwikkelen waarvan de seksuele er maar een is.   Wederom een voorkeur voor de engelse versie, voorbeeld: "" A bird with a broken wing was beating the air above, reeling, fluttering, circling disabled down, down to the water"" wordt vertaald als: ""Een gewonde vogel vocht tegen de wind, maar cirkelde wankelend en fladderend in de richting van het water"".  Een prettig boek, om Edna mee te mogen maken, ontdekte ook dat de originele titel ""A Solitary Soul"" is geweest, misschien wel meer toepasselijk.",1,unk,unk
15,"Tja omdat iedereen erover sprak, wou ik het ook lezen natuurlijk. Maar dan is je verwachting veel hoger. Ikzelf was helemaal niet enthousiast. Moeilijk in te komen niks spanning . Nee voor mij geen aanrader. 'Het is autobiografisch, helemaal waargebeurd maar toch zie je elementen van fictie in de stijl en vooral de opbouw, dat maakt het des te sterker.' - Win boeken voor je hele leesclub! We gaan Wil van Jeroen Olyslaegers luisteren via de gratis Hebban Luisterboeken-app. Doe je mee? 'Wat beweegt de jonge zwarte deelpachter Tucker Caliban om huis, vee en akkers te vernietigen en met vrouw en kind naar het Noorden te vertrekken?'- Win Uit de maat voor je hele leesgroep!",0,unk,unk
16,"Lars Kepler is het pseudoniem voor het Zweedse schrijversechtpaar Alexandra Coelho Ahndoril en Alexander Ahndoril. Hypnose is hun eerste misdaadroman en een enorm succes is Zweden maar ook in landen waar een vertaling van deze roman is uitgekomen. Door dit enorme succes wordt het echtpaar wel vergeleken met Stieg Larsson en Nicci French. Met de eerste omdat ook hij een Zweed is en heel goed scoorde met zijn millenniumserie en met Nicci French omdat dat eveneens een echtpaar is dat misdaadromans schrijft. Voor mij houden de vergelijkingen hiermee op. Lars Kepler heeft met Hypnose een meeslepende misdaadroman geschreven in een geheel eigen stijl en iedere verdere vergelijking met andere auteurs gaat mank. Erik Maria Bark is een arts die gespecialiseerd is in het behandelen van getraumatiseerde patiënten door middel van hypnose. Na een schokkende gebeurtenis 10 jaar geleden is hij gestopt met deze vorm van therapie en heeft zichzelf heilig beloofd zich nooit meer met hypnose in te laten. Erik is getrouwd met galeriehoudster Simone en zij hebben een zoontje Benjamin. Dan vindt er een gezinsdrama plaats. In een sportschool wordt de vader van een gezin op beestachtige wijze vermoord en in zijn huis treft de politie de echtgenote en een dochtertje aan. Beide zijn eveneens vermoord. De zoon van de familie is zeer ernstig gewond. Omdat de vrees bestaat dat een andere dochter van het gezin ook gevaar loopt, vraagt inspecteur Joona Linna aan Erik Maria Bark om de jongen onder hypnose te brengen zodat hij hem kan verhoren en op die manier een beeld van de moordenaar kan krijgen. Na lang aarzelen stemt Erik in en dat had hij beter niet kunnen doen. Er volgen een aantal vreselijke en gewelddadige gebeurtenissen die de levens van hemzelf en zijn gezin in groot gevaar brengen. Lars Kepler gebruikt iets meer dan 550 pagina´s om dit verhaal op te bouwen en toe te werken naar een spannende ontknoping. Veel pagina´s betekenen niet altijd kwaliteit maar in dit geval wel. Het boek is vanaf het begin boeiend en verveelt bijna nooit. Er is een gedeelte waarin de sessies met de patiënten die onder hypnose zijn, worden beschreven en dat gedeelte zou voor de leesbaarheid en de spanning best iets korter hebben gemogen, maar het doet aan de spanning van het totale verhaal niet echt afbreuk. Lars Kepler slaagt er heel goed in om geloofwaardige personages te scheppen. Inspecteur Joona Linna, Erik Maria Bark en zijn vrouw Simone en veel andere karakters worden beeldend beschreven en komen herkenbaar over. Zij zijn de hoofdrolspelers in een meeslepende misdaadroman die borg staat voor enkele uren ultiem leesplezier. Er ontwikkelt zich een plot met veel invalshoeken en wendingen en alles komt op aanvaardbare wijze bij elkaar tijdens de zenuwslopende ontknoping in het hoge noorden van Zweden. Hypnose is een uitstekende misdaadroman die vraagt om een vervolg met natuurlijk de sympathieke en deskundige inspecteur Joona Linna in de hoofdrol.",1,unk,unk
17,"Net zoals Sara Lindquist wil ik zelf ook wel wat nieuwe boekencategorieën uitvinden. Dit boekje catalogeer ik dan onder de term die ik net uitvond, nl RomKom-kolder. Kolder voor romantische komedies dus, en goede films in dit genre kan ik echt wel appreciëren. Maar dit boek zou denk ik niet tot zo'n goede film leiden: het bevalt me echt niet eerlijk gezegd. Als de Zweedse toeriste, Sara, aankomt in het kleine stadje 'Broken Wheel', Iowa, ontdekt ze dat haar oudere penvriendin Amy Harris net overleden is. Maar de inwoners van Broken Wheel ontvangen haar met de nodige gastvrijheid. Mede dankzij de voorraad boeken van Amy en met hulp van de inwoners kan ze een kleine boekenwinkel opstarten. Ik merk ook dat het louter name-droppen van boeken mij meer irriteert dan wat anders. En dan is er de liefde natuurlijk... Maar met zo weinig verbeelding, zo flauw en zouteloos, enz. Het lukt me niet om mee te leven met de personages, die voor mij veel te oppervlakkig blijven. Ik vind het ook allemaal zo onlogisch: alsof een buitenlandse die aankomt in een klein Amerikaans stadje zomaar zonder veel administratie te doorlopen zomaar een boekenwinkel mag opendoen met andermans boeken? Wat dan met al die reclame voor die green cards? ;-) Ik ben dus nog steeds op zoek naar een moderne Jane Austen of moderne Brontë. Dat waren, en zijn pas feelgood-romans!",0,unk,unk
18,"Govert Derix (1962) is schrijver, filosoof, columnist en docent. Hij publiceerde meer dan twintig boeken. In 2010 kwam zijn eerste roman uit. Sterrenmoord is zijn tweede roman.  In Sterrenmoord is van het ene op het andere moment de gehele sterrenhemel verdwenen. Over de hele wereld dringt het besef door dat er geen sterren en maan meer zijn. Onder leiding van de Koninklijke Londense Astronoom Barnaby Emperor probeert men achter de oorzaak te komen. Er ontstaat totale verwarring en chaos op de aarde door dit bizarre fenomeen. Er is een toename van zelfmoorden en moorden. Ondertussen zijn er vanuit verschillende landen waarnemingen van een mysterieus meisje. Wie is zij en wat heeft zij met het mysterie te maken? De introductie van Sterrenmoord belooft een geweldig spannend verhaal die je deze zomer vooral niet mag missen. Het begint met een aantal citaten van mensen die erg onder de indruk zijn van het boek. Des te groter was de teleurstelling al na de eerste bladzijdes. De eerste honderd bladzijdes krijgen we voornamelijk een lesje geografie, landen waar de sterren niet meer te zien zijn. Dit beschrijft Govert Derix tot in den treure. Het verhaal is verder erg chaotisch, ongeloofwaardig en mist verdieping. Er wordt teveel met losse flodders geschoten, nergens is het echt raak. Sterrenmoord is niet spannend te noemen, eerder vreemd. Dit boek schittert niet tussen de toppers van deze zomer.  Eindoordeel **  Plot * Spanning ** Leesplezier ** Schrijfstijl * Originaliteit ** Psychologie **",0,unk,unk
19,Indrukwekkend stuk journalistiek om te achterhalen wat er nu echt gebeurd is die vrijdag 13 mei 2000. Wat is de waarheid achter de vuurwerkramp in Enschede? Waarom zijn bepaalde mensen zo zenuwachtig en wordt er gelogen. Waarom is justitie zo blij met de zogenaamde brandstichter? Is het om niet verder te moeten zoeken? Wat mag er niet geweten worden? Wat lag er precies allemaal op dat terrein? Gebeurden er illegale activiteiten? Dit boek leest als een thriller.,1,unk,unk
20,"Rachel is een alcoholiste (aan de drank geraakt door het niet kunnen krijgen van kinderen), gescheiden van Tom, die inmiddels weer gelukkig getrouwd is, ze is inmiddels ook ontslagen, maar om de schijn op te houden neemt ze nog steeds de trein die ze voorheen naar haar werk nam. De trein staat altijd stil bij haar oude buurt voor een sein, en zo houdt ze een stel in de gaten (Megan en Scott) die zo te zien gelukkig is, totdat ze wat vreemds ziet gebeuren. Als ze hoort dat Megan daarna spoorloos verdwenen is, besluit ze op onderzoek uit te gaan en belandt ze weer in haar oude buurt, zeer tot tegenzin van haar ex en zijn huidige vrouw.  Ik begrijp werkelijk niet waarom mensen zo laaiend enthousiast hebben gereageerd op dit boek, het zal wel door de laagdrempeligheid van het boek zijn, waardoor het voor een hoop mensen toegankelijk is, ik heb in de vakantie 3 thrillers gelezen en deze was absoluut de minste.",0,unk,unk
